Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
19-12-2022,18:33,19-12-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 26,45 EUR",,,,EUR,"1,35",
19-12-2022,18:33,19-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"26,45",EUR,"27,80",
17-12-2022,09:51,16-12-2022,,,iDEAL Deposit,,EUR,"27,80",EUR,"1,35",
17-12-2022,09:51,16-12-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,"-27,80",EUR,"-26,45",
17-12-2022,08:37,16-12-2022,,,Valuta Creditering,,EUR,"1,28",EUR,"1,35",
17-12-2022,08:37,16-12-2022,,,Valuta Debitering,"1,0613",USD,"-1,36",USD,"0,00",
16-12-2022,10:33,15-12-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 5,18 EUR",,,,EUR,"0,07",
16-12-2022,10:33,15-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"5,18",EUR,"5,25",
16-12-2022,09:05,15-12-2022,COCA-COLA COMPANY (THE,US1912161007,Dividend,,USD,"0,44",USD,"1,36",
16-12-2022,09:05,15-12-2022,COCA-COLA COMPANY (THE,US1912161007,Dividendbelasting,,USD,"-0,07",USD,"0,92",
16-12-2022,09:03,15-12-2022,MAIN STREET CAPITAL CO,US56035L1044,Dividend,,USD,"0,44",USD,"0,99",
16-12-2022,09:03,15-12-2022,MAIN STREET CAPITAL CO,US56035L1044,Dividendbelasting,,USD,"-0,07",USD,"0,55",
16-12-2022,07:27,15-12-2022,CLEARWAY ENERGY INC.,US18539C2044,Dividend,,USD,"0,73",USD,"0,62",
16-12-2022,07:27,15-12-2022,CLEARWAY ENERGY INC.,US18539C2044,Dividendbelasting,,USD,"-0,11",USD,"-0,11",
15-12-2022,18:19,15-12-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,92 EUR",,,,EUR,"0,07",
15-12-2022,18:19,15-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,92",EUR,"-0,85",
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,Valuta Creditering,"1,0624",USD,"33,90",USD,"0,00",5925d76b-eb36-46e3-
,,,,,,,,,,,b017-a61a6d03c3e7
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,Valuta Debitering,,EUR,"-31,91",EUR,"0,07",5925d76b-eb36-46e3-b017-a61a6d03c3e7
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-1,00",EUR,"31,98",5925d76b-eb36-46e3-b017-a61a6d03c3e7
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,"Koop 1 @ 33,9 USD",,USD,"-33,90",USD,"-33,90",5925d76b-eb36-46e3-b017-a61a6d03c3e7
15-12-2022,16:49,15-12-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,"27,80",EUR,"32,98",
26-08-2022,13:30,26-08-2022,,,Processed Flatex Withdrawal,,EUR,"15,10",EUR,"0,36",
26-08-2022,13:30,26-08-2022,,,flatex terugstorting,,EUR,"-15,10",EUR,"-14,74",
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,Valuta Debitering,"1,1723",USD,"-63,97",USD,"-0,00",4046d050-7530-40c3-8544-4d0580cd1cea
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,Valuta Creditering,,EUR,"54,57",EUR,"54,25",4046d050-7530-40c3-8544-4d0580cd1cea
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-0,50",EUR,"-0,32",4046d050-7530-40c3-8544-4d0580cd1cea
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,"Verkoop 1 @ 63,97 USD",,USD,"63,97",USD,"63,97",4046d050-7530-40c3-8544-4d0580cd1cea
13-07-2020,15:59,13-07-2020,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 79,35 EUR",,EUR,"-79,35",EUR,"20,65",53a00f75-9782-4d4f-8aaa-10d76e7ef500
03-04-2023,09:04,03-04-2023,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 97,93 EUR",,EUR,-97.93,EUR,43.62,07d17d6b-cb47-4949-b9d7-2c506537783e
16-02-2021,14:42,16-02-2021,FBR LTD.,AU000000FBR4,"Koop 500 @ 0,039 EUR",,EUR,-19.5,EUR,51.92,1bb91f96-6356-4b37-be74-bb6d6b8996fb
23-02-2023,04:21,23-02-2023,FBR LTD,AU000000FBR4,"PRODUCTWIJZIGING : Koop 500 @ 0,039 EUR",,EUR,0,EUR,18.3, 
23-02-2023,02:30,23-02-2023,FBR LTD.,AU000000FBR4,"PRODUCTWIJZIGING : Verkoop 500 @ 0,039 EUR",,EUR,0,EUR,18.3,
