Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
11/01/2023,Reinvest Shares,SPY,SPDR S&P 500 ETF,1.6531,$420.10,,-$694.48
10/31/2023,Reinvest Dividend,SPY,SPDR S&P 500 ETF,,,,$694.48
10/31/2023,Reinvest Dividend,NFRIX,NUVEEN FLOATING RATE INCOME I,,,,$144.11
10/31/2023,Reinvest Dividend,FIHBX,FEDERATED HERMES INSTL HIGH YIELD BD IS,,,,$102.30
10/31/2023,Reinvest Shares,FIHBX,FEDERATED HERMES INSTL HIGH YIELD BD IS,12.4,$8.25,,-$102.30
10/31/2023,Reinvest Shares,NFRIX,NUVEEN FLOATING RATE INCOME I,8.082,$17.83,,-$144.11
10/30/2023,Credit Interest,,SCHWAB1 INT 09/28-10/29,,,,$1.63
10/16/2023,Reinvest Dividend,SWVXX,SCHWAB VALUE ADVANTAGE MONEY INV,,,,$46.23
10/16/2023,Reinvest Dividend,SNSXX,SCHWAB US TREASURY MONEY INVESTOR,,,,"$1,259.59"
10/16/2023,Reinvest Dividend,SNAXX,SCHWAB VALUE ADVANTAGE MONEY ULTRA,,,,"$3,706.38"
10/16/2023,Reinvest Shares,SWVXX,SCHWAB VALUE ADVANTAGE MONEY INV,46.23,$1.00,,-$46.23
10/16/2023,Reinvest Shares,SNSXX,SCHWAB US TREASURY MONEY INVESTOR,"1,259.59",$1.00,,"-$1,259.59"
10/16/2023,Reinvest Shares,SNAXX,SCHWAB VALUE ADVANTAGE MONEY ULTRA,"3,706.38",$1.00,,"-$3,706.38"
10/04/2023,Reinvest Shares,VNQ,VANGUARD REAL ESTATE ETF,4.4877,$72.69,,-$326.22
10/03/2023,Reinvest Dividend,VNQ,VANGUARD REAL ESTATE ETF,,,,$326.22
10/03/2023,Reinvest Shares,GBDC,GOLUB CAPITAL BDC INC,10.32,$14.50,,-$149.64
10/02/2023,Reinvest Shares,ARCC,ARES CAPITAL CORP,9.2428,$19.23,,-$177.70
10/02/2023,Reinvest Shares,TCPC,BLACKROCK TCP CAPITAL CO,13.3458,$11.46,,-$152.91
10/02/2023,Reinvest Shares,TSLX,SIXTH STREET SPECIALTY L,6.5717,$20.46,,-$134.44
10/02/2023,Reinvest Shares,NMFC,NEW MOUNTAIN FIN CO,11.2967,$13.05,,-$147.41
09/29/2023,Reinvest Dividend,FIHBX,FEDERATED HERMES INSTL HIGH YIELD BD IS,,,,$100.23
09/29/2023,Reinvest Dividend,NFRIX,NUVEEN FLOATING RATE INCOME I,,,,$143.05
