Transaction Time (CET),Transaction Category,Transaction Type,Transfer Type,Transaction Amount,Transaction Currency,Cash Balance Amount,Asset Id,Asset Name,Asset Quantity,Asset Price,Asset Currency,Currency Pair,Exchange Rate,Profit And Loss Amount,Profit And Loss Currency,Dividend Currency,Dividend Gross Amount,Dividend Net Amount,Dividend Tax Amount,Transaction Description
2020-11-18 12:15:23.606000,deposits,Sepa Deposit,,,500,EUR,500,,,,,,,,,,,,,
2020-11-18 13:02:54.696000,deposits,Sepa Deposit,,,100,EUR,600.03,,,,,,,,,,,,,
2023-03-21 13:37:29.383000,trades,Buy Trade,,-542.92,EUR,48.49,NL0011821202,ING,49,11.08,EUR,,,,,,,,,Transaction Amount: 542.92
2023-03-21 13:37:29.384000,fees,Trading Fee,,-1.5,EUR,46.99,NL0011821202,ING,,,,,,,,,,,,
2023-03-21 13:37:29.384000,trades,Buy Trade,,-7.08,EUR,39.91,NL0011821202,ING,0.638989,11.08,EUR,,,,,,,,,Transaction Amount: 7.0800092
2023-05-02 11:07:12.872000,fees,Subscription Fee,,-2.99,EUR,36.92,,,,,,,,,,,,,,
2023-05-05 11:38:06.646000,dividends,Cash Dividend,,16.4,EUR,53.32,NL0011821202,ING,,,,,,,,,,,,
2023-06-01 18:51:19.620000,fees,Subscription Fee,,-2.99,EUR,50.33,,,,,,,,,,,,,,
2023-07-01 12:32:03.013000,fees,Subscription Fee,,-2.99,EUR,47.34,,,,,,,,,,,,,,
2023-07-09 10:25:51.533000,interest,Interest Payment,,0.23,EUR,47.57,,,,,,,,,,,,,,
2023-08-01 16:19:45.363000,fees,Subscription Fee,,-2.99,EUR,44.58,,,,,,,,,,,,,,
2023-08-14 16:37:01.245000,dividends,Cash Dividend,,14.76,EUR,59.34,NL0011821202,ING,,,,,,,,,,,,
2023-09-01 18:28:48.386000,fees,Subscription Fee,,-2.99,EUR,56.35,,,,,,,,,,,,,,
2023-10-01 16:20:38.540000,fees,Subscription Fee,,-2.99,EUR,53.36,,,,,,,,,,,,,,
2023-10-05 08:10:02.073000,interest,Interest Payment,,0.34,EUR,53.7,,,,,,,,,,,,,,
2023-11-05 07:05:37.311000,interest,Interest Payment,,0.11,EUR,50.82,,,,,,,,,,,,,,
2024-01-19 17:15:46.543000,deposits,Sepa Deposit,,10,EUR,55.07,,,,,,,,,,,,,,
2024-05-14 13:57:08.427000,withdrawals,Sepa Withdrawal,,-1200,EUR,1293.6,,,,,,,,,,,,,,
2023-03-21 13:37:29.384000,trades,Sell Trade,,-7.08,EUR,39.91,NL0011821202,ING,0.638989,11.08,EUR,,,,,,,,,Transaction Amount: 7.0800092
2025-06-11 16:45:18.652000,trades,Buy Trade,,-10.0,EUR,150.5,US3755581036,Gilead Sciences,0.104172,109.96,USD,EURUSD,1.14547,,,,,,,Transaction Amount: 11.45475312
2020-07-06 09:21:16.051000,others,Promotional,CASH_CREDIT,4.67,EUR,354.67,,,,,,,,,,,,,,
2020-07-06 12:41:38.128000,others,To User Corrections,CASH_CREDIT,1.95,EUR,351.96,,,,,,,,,,,,,,
2020-08-31 11:16:47.570000,corporate_actions,General Corporate Action,ASSET_REDEEM,-1000.08,USD,,US0378331005,Apple,2.0,500.04,USD,EURUSD,1.19388,200.89,EUR,,,,,Stock split Apple
2020-08-31 11:18:46.264000,corporate_actions,General Corporate Action,ASSET_DEPOSIT,1000.08,USD,,US0378331005,Apple,8.0,125.01,USD,EURUSD,1.194,,,,,,,Stock split Apple
