Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
19-12-2022,18:33,19-12-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 26,45 EUR",,,,EUR,"1,35",
19-12-2022,18:33,19-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"26,45",EUR,"27,80",
17-12-2022,09:51,16-12-2022,,,iDEAL Deposit,,EUR,"27,80",EUR,"1,35",
17-12-2022,09:51,16-12-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,"-27,80",EUR,"-26,45",
17-12-2022,08:37,16-12-2022,,,Valuta Creditering,,EUR,"1,28",EUR,"1,35",
17-12-2022,08:37,16-12-2022,,,Valuta Debitering,"1,0613",USD,"-1,36",USD,"0,00",
16-12-2022,10:33,15-12-2022,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 5,18 EUR",,,,EUR,"0,07",
16-12-2022,10:33,15-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"5,18",EUR,"5,25",
16-12-2022,09:05,15-12-2022,COCA-COLA COMPANY (THE,US1912161007,Dividend,,USD,"0,44",USD,"1,36",
16-12-2022,09:05,15-12-2022,COCA-COLA COMPANY (THE,US1912161007,Dividendbelasting,,USD,"-0,07",USD,"0,92",
16-12-2022,09:03,15-12-2022,MAIN STREET CAPITAL CO,US56035L1044,Dividend,,USD,"0,44",USD,"0,99",
16-12-2022,09:03,15-12-2022,MAIN STREET CAPITAL CO,US56035L1044,Dividendbelasting,,USD,"-0,07",USD,"0,55",
16-12-2022,07:27,15-12-2022,CLEARWAY ENERGY INC.,US18539C2044,Dividend,,USD,"0,73",USD,"0,62",
16-12-2022,07:27,15-12-2022,CLEARWAY ENERGY INC.,US18539C2044,Dividendbelasting,,USD,"-0,11",USD,"-0,11",
15-12-2022,18:19,15-12-2022,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,92 EUR",,,,EUR,"0,07",
15-12-2022,18:19,15-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-0,92",EUR,"-0,85",
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,Valuta Creditering,"1,0624",USD,"33,90",USD,"0,00",5925d76b-eb36-46e3-
,,,,,,,,,,,b017-a61a6d03c3e7
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,Valuta Debitering,,EUR,"-31,91",EUR,"0,07",5925d76b-eb36-46e3-b017-a61a6d03c3e7
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-1,00",EUR,"31,98",5925d76b-eb36-46e3-b017-a61a6d03c3e7
15-12-2022,16:55,15-12-2022,VICI PROPERTIES INC. C,US9256521090,"Koop 1 @ 33,9 USD",,USD,"-33,90",USD,"-33,90",5925d76b-eb36-46e3-b017-a61a6d03c3e7
15-12-2022,16:49,15-12-2022,,,Reservation iDEAL / Sofort Deposit,,EUR,"27,80",EUR,"32,98",
26-08-2022,13:30,26-08-2022,,,Processed Flatex Withdrawal,,EUR,"15,10",EUR,"0,36",
26-08-2022,13:30,26-08-2022,,,flatex terugstorting,,EUR,"-15,10",EUR,"-14,74",
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,Valuta Debitering,"1,1723",USD,"-63,97",USD,"-0,00",4046d050-7530-40c3-8544-4d0580cd1cea
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,Valuta Creditering,,EUR,"54,57",EUR,"54,25",4046d050-7530-40c3-8544-4d0580cd1cea
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-0,50",EUR,"-0,32",4046d050-7530-40c3-8544-4d0580cd1cea
10-08-2021,16:18,10-08-2021,BANK NOVA SCOTIA HALIF,CA0641491075,"Verkoop 1 @ 63,97 USD",,USD,"63,97",USD,"63,97",4046d050-7530-40c3-8544-4d0580cd1cea
13-07-2020,15:59,13-07-2020,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 79,35 EUR",,EUR,"-79,35",EUR,"20,65",53a00f75-9782-4d4f-8aaa-10d76e7ef500
03-04-2023,09:04,03-04-2023,VANGUARD FTSE AW,IE00B3RBWM25,"Koop 1 @ 97,93 EUR",,EUR,-97.93,EUR,43.62,07d17d6b-cb47-4949-b9d7-2c506537783e
16-02-2021,14:42,16-02-2021,FBR LTD.,AU000000FBR4,"Koop 500 @ 0,039 EUR",,EUR,-19.5,EUR,51.92,1bb91f96-6356-4b37-be74-bb6d6b8996fb
02-01-2024,06:58,29-12-2023,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividende,,USD,11.82,USD,11.82,
23-02-2023,04:21,23-02-2023,FBR LTD,AU000000FBR4,"PRODUCTWIJZIGING : Koop 500 @ 0,039 EUR",,EUR,0,EUR,18.3, 
23-02-2023,02:30,23-02-2023,FBR LTD.,AU000000FBR4,"PRODUCTWIJZIGING : Verkoop 500 @ 0,039 EUR",,EUR,0,EUR,18.3,
01-02-2021,15:39,01-02-2021,AMC ENTERTAINMENT HOLD,US00165C1045,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-1,00",EUR,"31,98",43a88697-7358-4389-9440-d8aa6db536ce
01-02-2021,15:39,01-02-2021,AMC ENTERTAINMENT HOLD,US00165C1045,"Koop 1 @ 1,2108 USD",,USD,"-1.2108",USD,-16.70,43a88697-7358-4389-9440-d8aa6db536ce
01-08-2023,10:03,01-08-2023,ISHARES NASDAQ US BIOTECHNOLOGY ETF,IE00BYXG2H39,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,5.54,4c29dd81-bb01-40fa-8dda-aae3d05dae79
01-08-2023,10:03,01-08-2023,ISHARES NASDAQ US BIOTECHNOLOGY ETF,IE00BYXG2H39,"Verkoop 1 @ 5,416 EUR",,EUR,5.42,EUR,6.54,4c29dd81-bb01-40fa-8dda-aae3d05dae79
25-07-2023,14:31,25-07-2023,ISHARES KOREA,IE00B0M63391,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,44.92,d4f45240-d763-4b95-8590-2ba158d38207
25-07-2023,14:31,25-07-2023,ISHARES KOREA,IE00B0M63391,"Koop 1 @ 42,53 EUR",,EUR,-42.53,EUR,45.92,d4f45240-d763-4b95-8590-2ba158d38207
15-05-2019,09:05,15-05-2019,ISHARES MSCI WOR A,IE00B4L5Y983,"Compra 6 ISHARES MSCI WOR A@49,785 EUR (IE00B4L5Y983)",,EUR,-298.71,EUR,0.64,a47e2746-bfbd-4654-bd6c-5e58e470d32f
02-01-2024,14:42,02-01-2024,ISHARES MSCI WOR A,IE00B4L5Y983,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,2.54,7b377a93-5695-4131-8954-5c78996fbed4
02-01-2024,14:42,02-01-2024,ISHARES MSCI WOR A,IE00B4L5Y983,"Compra 1 ISHARES MSCI WOR A@82,055 EUR (IE00B4L5Y983)",,EUR,-82.06,EUR,3.54,7b377a93-5695-4131-8954-5c78996fbed4
05-02-2024,07:16,31-01-2024,,,DEGIRO Aansluitingskosten 2024 (Nasdaq - NDQ),,EUR,-2.50,EUR,-6.28,
05-02-2024,07:16,31-01-2024,,,DEGIRO Aansluitingskosten 2024 (Euronext Milan - MIL),,EUR,-2.50,EUR,-3.78,
05-02-2024,07:16,31-01-2024,,,DEGIRO Aansluitingskosten 2024 (Xetra - XET),,EUR,-2.50,EUR,-1.28,
02-02-2024,08:00,01-02-2024,AT&T INC.,US00206R1023,Dividend,,USD,1.39,USD,1.39,
11-03-2024,10:39,11-03-2024,QT GROUP OYJ,FI4000198031,Frais DEGIRO de courtage et/ou de parties tierces,,EUR,-4.90,EUR,33.53,cce1bd4c-9404-49b0-b69a-43a5c307d3c5
11-03-2024,10:39,11-03-2024,QT GROUP OYJ,FI4000198031,"Achat 6 QT GROUP OYJ@79,96 EUR (FI4000198031)",,EUR,-479.76,EUR,38.43,cce1bd4c-9404-49b0-b69a-43a5c307d3c5
18-03-2024,08:38,15-03-2024,REALTY INCOME CORP,US7561091049,Dividende,,USD,0.51,USD,0.36,
18-03-2024,08:38,15-03-2024,REALTY INCOME CORP,US7561091049,Impôts sur dividende,,USD,-0.15,USD,-0.15,
19-06-2024,06:53,18-06-2024,,,Ingreso Cambio de Divisa,,EUR,0.79,EUR,319.39,
19-06-2024,06:53,18-06-2024,,,Retirada Cambio de Divisa,1.0767,USD,-0.85,USD,0.00,
26-10-2020,20:25,26-10-2020,,,Ingreso,,EUR,25.00,EUR,25.00,
02-04-2024,09:00,02-04-2024,AVIVA,GB00BPQY8M80,Sell 4 AVIVA@496 GBX (GB00BPQY8M80),,GBP,19.84,GBP,114.31,86c1f17b-8a74-4126-af39-61049bcb6e33
04-10-2024,07:27,03-10-2024,,,DEGIRO Corporate Action Kosten,,USD,-0.01,USD,0.07,
19-09-2024,20:20,19-09-2024,APPLE INC,US0378331005,Levantamento de divisa,1.1191,USD,-457.52,USD,0.00,711b1ad7-a370-4c88-bc86-074aada4a278
19-09-2024,20:20,19-09-2024,APPLE INC,US0378331005,CrÃ©dito de divisa,,EUR,408.83,EUR,638.81,711b1ad7-a370-4c88-bc86-074aada4a278
01-08-2024,07:40,31-07-2024,OXFORD SQUARE CAPITAL CORP,US69181V1070,Impôts sur dividende,,USD,-0.53,USD,2.97,
01-08-2024,07:39,31-07-2024,OXFORD SQUARE CAPITAL CORP,US69181V1070,Dividende,,USD,3.50,USD,3.50,
05-02-2024,07:18,31-01-2024,,,Giro Exchange Connection Fee 2024,,EUR,-2.50,EUR,655.40,
23-08-2024,12:21,23-08-2024,,,DEGIRO courtesy,,EUR,0.24,EUR,61.30,
23-08-2024,12:21,23-08-2024,,,DEGIRO courtesy,,EUR,0.61,EUR,61.06,
14-09-2023,08:49,14-09-2023,PROSUS NV,NL0013654783,STOCK DIVIDEND: Koop 999 @ 0 EUR,,EUR,0.00,EUR,9999.99,
27-05-2024,07:41,24-05-2024,TOYOTA MOTOR CORP,JP3633400001,Dividend,,JPY,9999.99,JPY,9999.99,
27-05-2024,07:41,24-05-2024,TOYOTA MOTOR CORP,JP3633400001,Dividendbelasting,,JPY,-9999.99,JPY,-9999.99,
08-03-2024,11:25,08-03-2024,TOYOTA MOTOR CORP,JP3633400001,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-9999.99,EUR,9999.99,541651641
08-03-2024,11:25,08-03-2024,TOYOTA MOTOR CORP,JP3633400001,"Koop 30 @ 22,4 EUR",,EUR,-9999.99,EUR,9999.99,541651641
15-07-2020,00:00,14-07-2020,EUR CASH FUND FUNDSHARE,NL0010661914,Variation Fonds Monétaires (EUR),,EUR,-0.25,EUR,24.58,
09-06-2020,12:05,08-06-2020,EUR CASH FUND FUNDSHARE,NL0010661914,"Conversion Fonds Monétaires finalisée: Vente 1 046,3825 @ 0,9854 EUR",,EUR,-4.81,EUR,84.89,
01-01-2025,06:46,31-12-2024,,,FX Credit,,EUR,12.28,EUR,217.01,
01-01-2025,06:46,31-12-2024,,,FX Debit,1.0379,USD,-12.75,USD,0.00,
13-09-2021,08:26,10-09-2021,MOODY'S CORP.,US6153691059,Dividend,,USD,0.62,USD,0.53,
